Feature,SHAP_Importance
100d波动率,0.0032594025
350d峰度,0.0027743184
30d波动率,0.0022731337
150d波动率,0.0016208432
500d波动率,0.001603023
50d夏普比率,0.0015986519
100d夏普比率,0.001498939
300d收益率,0.001400465
300d峰度,0.0011827548
100d峰度,0.0010572715
300d夏普比率,0.0009999613
300d平均收益,0.0009752379
30d偏度,0.00096985395
450d波动率,0.0009456995
250d峰度,0.000928306
300d波动率,0.00089989085
30d平均收益,0.0008598956
350d波动率,0.0007810123
500d峰度,0.00075921876
14d波动率,0.00074616884
50d平均收益,0.00072880177
150d峰度,0.0007223903
150d偏度,0.0007197343
30d夏普比率,0.0006643238
20d波动率,0.0006541754
400d峰度,0.00063190394
7d夏普比率,0.00062826416
350d偏度,0.0006086314
250d波动率,0.000594178
50d收益率,0.000572806
20d平均收益,0.0005504211
75d夏普比率,0.0005383853
450d夏普比率,0.0004848184
20d收益率,0.00047888976
500d偏度,0.00046555715
75d偏度,0.00042211555
250d夏普比率,0.0004096136
350d收益率,0.00040217137
200d波动率,0.00039415513
20d夏普比率,0.00036335076
450d收益率,0.00035813314
50d峰度,0.0003480848
350d夏普比率,0.0003419035
75d波动率,0.00033995777
10d波动率,0.00033080703
5d夏普比率,0.00031173835
500d夏普比率,0.00031107452
450d平均收益,0.00026914483
10d偏度,0.00025025118
30d收益率,0.00023868895
450d偏度,0.0002322814
50d波动率,0.00023078104
200d偏度,0.00022275568
7d波动率,0.0002148557
100d收益率,0.00021425771
5d波动率,0.00019936232
10d峰度,0.00019692088
200d收益率,0.0001962399
10d平均收益,0.00019108478
400d收益率,0.00019052747
200d平均收益,0.00018571812
7d平均收益,0.00018355156
450d峰度,0.00017701388
2d波动率,0.00017097573
50d偏度,0.00017045908
75d峰度,0.0001698439
200d峰度,0.00016221839
20d峰度,0.00016117244
400d偏度,0.0001515949
100d偏度,0.0001500446
150d平均收益,0.00014768382
400d波动率,0.00014444625
20d偏度,0.00013931884
350d平均收益,0.00013623986
7d收益率,0.00013163318
300d偏度,0.0001222532
250d偏度,0.00012079018
3d夏普比率,0.00012061406
3d平均收益,0.00011907849
400d平均收益,0.00011666757
7d峰度,0.00010950052
75d平均收益,0.000101682075
5d平均收益,0.00010024114
14d平均收益,9.5067604e-05
7d偏度,9.2823684e-05
200d夏普比率,8.4567146e-05
400d夏普比率,7.92659e-05
30d峰度,7.858013e-05
14d峰度,7.720606e-05
100d平均收益,7.136942e-05
3d偏度,6.9824215e-05
250d收益率,6.894228e-05
150d收益率,6.648522e-05
10d夏普比率,6.0281476e-05
14d收益率,5.9270144e-05
14d偏度,5.714905e-05
75d收益率,5.427201e-05
150d夏普比率,5.3789627e-05
5d收益率,5.126417e-05
500d平均收益,4.911738e-05
10d收益率,4.8349215e-05
3d收益率,4.4401622e-05
5d偏度,3.0745825e-05
3d波动率,3.0729676e-05
2d夏普比率,2.4230505e-05
14d夏普比率,2.3799576e-05
5d峰度,2.327275e-05
250d平均收益,1.7628816e-05
500d收益率,1.4762999e-05
2d收益率,2.4598226e-06
2d平均收益,0.0
