Feature,SHAP_Importance
150d波动率,0.002020494
350d峰度,0.0020191767
100d峰度,0.0018550958
30d波动率,0.0014837626
100d夏普比率,0.0014567669
300d峰度,0.0012656477
250d波动率,0.0012628355
250d峰度,0.0012155764
300d平均收益,0.0011753071
50d夏普比率,0.0010883186
30d平均收益,0.0010274521
30d偏度,0.0010230782
500d波动率,0.0010061349
150d峰度,0.00089211337
400d峰度,0.00087859196
450d收益率,0.00086640386
30d夏普比率,0.000854943
7d夏普比率,0.00079611514
200d波动率,0.0007879171
450d波动率,0.00075454044
50d收益率,0.00071889366
350d偏度,0.0007050655
14d波动率,0.00069872243
300d收益率,0.00069346477
75d波动率,0.0006753402
50d平均收益,0.0006752758
450d峰度,0.00065330946
500d偏度,0.0006522461
150d偏度,0.00054285175
100d波动率,0.0005309141
5d夏普比率,0.00044797847
50d波动率,0.00043725508
500d夏普比率,0.00042677947
50d峰度,0.00041991752
450d夏普比率,0.00040772272
300d波动率,0.0004014483
10d平均收益,0.00039219428
20d波动率,0.00038778567
75d偏度,0.00037799135
14d平均收益,0.0003715385
200d峰度,0.00032962533
400d偏度,0.00032809604
10d偏度,0.00031974286
7d平均收益,0.0003093454
350d波动率,0.00028987965
75d夏普比率,0.00028217485
350d收益率,0.00027264352
20d平均收益,0.00026238762
7d峰度,0.00025606752
30d收益率,0.0002487952
20d夏普比率,0.00023345192
100d偏度,0.00023075948
2d夏普比率,0.00022970584
350d夏普比率,0.00021891177
14d收益率,0.00021725743
300d夏普比率,0.00021475671
14d峰度,0.00021437756
200d偏度,0.00021133921
250d夏普比率,0.00021042053
250d收益率,0.00020119302
50d偏度,0.00019783711
75d峰度,0.00017954914
300d偏度,0.00017948248
200d平均收益,0.00017940871
350d平均收益,0.00017913751
20d峰度,0.0001786582
7d偏度,0.00017019274
3d平均收益,0.000167964
10d夏普比率,0.00016605116
450d偏度,0.00016116165
100d收益率,0.00015923336
150d平均收益,0.00015634148
10d峰度,0.00015594331
500d峰度,0.00015541584
7d收益率,0.0001508986
400d夏普比率,0.00014374456
20d收益率,0.00014177518
5d偏度,0.00013687328
7d波动率,0.0001323205
400d收益率,0.00013216797
400d平均收益,0.00012629955
150d收益率,0.00012613808
10d波动率,0.00012205263
30d峰度,0.00012157558
250d偏度,0.00011389506
500d平均收益,9.239833e-05
3d收益率,8.60764e-05
500d收益率,8.482622e-05
450d平均收益,7.5952674e-05
14d偏度,7.491809e-05
3d夏普比率,7.4779666e-05
20d偏度,7.4191536e-05
10d收益率,7.346045e-05
200d收益率,7.1770606e-05
100d平均收益,7.176788e-05
5d平均收益,7.119559e-05
75d收益率,7.059706e-05
400d波动率,6.863576e-05
250d平均收益,6.644563e-05
150d夏普比率,6.044604e-05
14d夏普比率,6.000871e-05
5d波动率,4.8486956e-05
3d偏度,4.4564153e-05
200d夏普比率,4.3266748e-05
5d收益率,3.2381122e-05
75d平均收益,2.6106465e-05
2d平均收益,7.696872e-06
2d波动率,7.6864835e-06
3d波动率,6.647809e-06
5d峰度,1.6790631e-06
2d收益率,0.0
