Feature,SHAP_Importance
350d峰度,0.0025912465
30d波动率,0.0025555831
500d偏度,0.0023724646
150d波动率,0.0020431867
300d偏度,0.0019653982
100d峰度,0.0018814694
500d波动率,0.0018029582
100d夏普比率,0.0017137289
50d夏普比率,0.0017102608
30d夏普比率,0.0016615227
350d波动率,0.0016069799
300d峰度,0.0014733543
30d平均收益,0.0013254606
20d波动率,0.0013211957
400d偏度,0.0013173826
300d波动率,0.0013155923
150d峰度,0.0013115539
200d波动率,0.001147836
250d波动率,0.0010829866
200d峰度,0.0010442296
450d峰度,0.0010435969
450d夏普比率,0.0010200952
14d波动率,0.0010180497
500d峰度,0.00096871384
75d夏普比率,0.00095153623
30d峰度,0.0009427793
300d平均收益,0.0009410673
300d收益率,0.0009012792
100d波动率,0.0008885748
350d偏度,0.00088538055
450d偏度,0.0008620509
30d偏度,0.0008438676
250d峰度,0.00082900724
200d偏度,0.0008228073
50d收益率,0.00081324234
150d偏度,0.00080992014
5d波动率,0.000797353
200d收益率,0.000767
450d收益率,0.00073268625
75d峰度,0.00073042896
7d夏普比率,0.00073018763
75d波动率,0.0007297158
400d夏普比率,0.00072770927
10d夏普比率,0.0007247069
200d平均收益,0.00072003226
3d平均收益,0.0007143057
10d峰度,0.0006932363
300d夏普比率,0.00068972394
100d偏度,0.0006897227
50d偏度,0.00068200723
400d峰度,0.0006605246
30d收益率,0.0006575168
50d波动率,0.00065461994
50d峰度,0.0006189641
100d收益率,0.00061414397
75d平均收益,0.0005917373
75d偏度,0.0005874917
14d偏度,0.0005772886
150d夏普比率,0.0005741421
350d收益率,0.00056932133
20d平均收益,0.000566779
500d夏普比率,0.0005587303
7d偏度,0.0005345446
10d偏度,0.0005333051
20d峰度,0.00053270004
14d峰度,0.00053026015
20d偏度,0.000520465
450d波动率,0.00051867403
150d平均收益,0.00048475518
10d波动率,0.00048468474
5d峰度,0.0004729018
400d平均收益,0.0004663113
200d夏普比率,0.0004603413
20d收益率,0.0004508418
20d夏普比率,0.00043857566
450d平均收益,0.00043086294
400d收益率,0.0004284281
7d波动率,0.00040733197
350d夏普比率,0.00037639993
7d平均收益,0.00034688564
150d收益率,0.00034133153
3d夏普比率,0.0003395395
5d夏普比率,0.00032969163
400d波动率,0.00032865972
7d峰度,0.00032571112
5d偏度,0.00032333037
2d收益率,0.0003215934
3d波动率,0.00032000872
5d收益率,0.0003093187
350d平均收益,0.00030092272
250d偏度,0.0002994403
3d偏度,0.0002942994
10d平均收益,0.00028658326
100d平均收益,0.0002822352
14d夏普比率,0.00027524796
250d收益率,0.0002711812
500d收益率,0.00026272333
250d夏普比率,0.00025726523
14d收益率,0.0002473094
5d平均收益,0.00024279514
7d收益率,0.00023935694
50d平均收益,0.00022892504
2d夏普比率,0.00022520083
75d收益率,0.00019173558
10d收益率,0.00018913054
500d平均收益,0.00017061016
2d波动率,0.00015653897
250d平均收益,0.00013416879
3d收益率,0.00012346414
14d平均收益,0.00011872449
2d平均收益,9.208087e-05
