Feature,SHAP_Importance
100d峰度,0.002853857
250d峰度,0.0018511551
30d波动率,0.0017500961
150d波动率,0.0016343027
50d夏普比率,0.0015368817
100d夏普比率,0.0015112896
350d峰度,0.00144478
400d峰度,0.0014285743
300d峰度,0.0011088947
500d波动率,0.0010993025
350d偏度,0.001093814
500d偏度,0.0009913775
10d夏普比率,0.00089498184
350d波动率,0.0008836014
500d夏普比率,0.0008653588
200d峰度,0.0008543042
150d峰度,0.0008298445
30d平均收益,0.00082132523
50d平均收益,0.00081639254
300d收益率,0.000808648
250d波动率,0.00078700524
7d收益率,0.0007757984
300d夏普比率,0.00076994096
400d偏度,0.0007075501
75d峰度,0.00066574704
300d波动率,0.00065600895
50d峰度,0.00063644216
14d波动率,0.0006241189
20d波动率,0.0006125587
30d偏度,0.0006077654
7d峰度,0.00055680645
75d偏度,0.00055632903
30d夏普比率,0.00053369463
7d夏普比率,0.0005170551
450d峰度,0.0004925615
350d平均收益,0.0004828116
30d收益率,0.0004772684
3d平均收益,0.00044863607
250d收益率,0.00044003766
300d平均收益,0.00043952354
5d夏普比率,0.0004361659
50d收益率,0.00040135492
30d峰度,0.0003900179
450d波动率,0.00038701665
10d平均收益,0.00038648146
100d波动率,0.00037478763
7d平均收益,0.00036150598
20d收益率,0.00035309297
10d偏度,0.0003422746
14d峰度,0.00033917167
350d夏普比率,0.00032732016
450d收益率,0.00031834593
75d波动率,0.0003180399
200d偏度,0.0003070771
450d偏度,0.00030076262
150d偏度,0.00029822334
200d平均收益,0.0002981537
50d偏度,0.0002817778
200d波动率,0.00027165283
75d夏普比率,0.00027060846
20d平均收益,0.0002516838
500d峰度,0.00025083392
50d波动率,0.00023705265
500d收益率,0.0002297077
450d夏普比率,0.00022567583
300d偏度,0.00022252892
5d偏度,0.00022249753
350d收益率,0.00019856772
100d收益率,0.00019248326
400d收益率,0.00018346956
450d平均收益,0.00018049813
14d收益率,0.00017672904
20d夏普比率,0.00017549294
7d波动率,0.00017521434
14d偏度,0.00016662481
150d平均收益,0.00016143903
250d平均收益,0.00016038043
150d夏普比率,0.00015911215
20d峰度,0.00015534178
5d收益率,0.00014957358
10d波动率,0.00013446205
2d夏普比率,0.00013202328
75d收益率,0.00011997016
100d平均收益,0.00011895758
400d波动率,0.00011856026
20d偏度,0.000112330796
10d收益率,0.00011115961
3d收益率,0.00010013319
100d偏度,9.929572e-05
10d峰度,9.721374e-05
500d平均收益,9.385882e-05
250d偏度,9.288573e-05
7d偏度,8.998109e-05
14d平均收益,8.1960396e-05
400d平均收益,6.886514e-05
250d夏普比率,6.446509e-05
14d夏普比率,4.7151992e-05
150d收益率,4.6078643e-05
2d波动率,4.300101e-05
75d平均收益,3.685328e-05
3d夏普比率,3.4132296e-05
200d收益率,3.0279092e-05
5d波动率,2.8686609e-05
3d波动率,1.7778808e-05
200d夏普比率,9.751145e-06
3d偏度,0.0
2d平均收益,0.0
5d峰度,0.0
400d夏普比率,0.0
5d平均收益,0.0
2d收益率,0.0
