Feature,SHAP_Importance
400d峰度,0.0029214476
50d夏普比率,0.0025882996
100d峰度,0.0021510713
500d波动率,0.001996604
350d偏度,0.0019305459
500d偏度,0.0019248317
30d夏普比率,0.0018078565
300d峰度,0.0017181026
150d峰度,0.0015207053
20d波动率,0.0013252029
250d夏普比率,0.0013004242
50d波动率,0.0012765329
450d峰度,0.0012239473
150d偏度,0.0012157165
30d波动率,0.0011067558
7d收益率,0.0010705597
75d偏度,0.0010249744
100d平均收益,0.00093753904
100d夏普比率,0.0009113942
250d峰度,0.0009095086
300d波动率,0.0008935421
50d峰度,0.00088972686
250d波动率,0.00086036813
300d收益率,0.000859145
50d平均收益,0.0008558325
10d峰度,0.0008396664
350d波动率,0.0008304699
30d偏度,0.0007852998
200d偏度,0.0007519692
14d波动率,0.0007484535
75d峰度,0.0007454844
10d夏普比率,0.00073989877
30d收益率,0.00073341426
7d峰度,0.000724044
75d波动率,0.0006849688
350d夏普比率,0.00067369855
30d峰度,0.00066826626
300d夏普比率,0.00065771013
400d偏度,0.00064805505
450d波动率,0.0006427296
400d波动率,0.0006270135
100d波动率,0.0006211751
30d平均收益,0.00061338046
100d收益率,0.0006123026
450d偏度,0.0005746557
150d波动率,0.0005685095
200d夏普比率,0.0005666129
75d夏普比率,0.000561079
14d峰度,0.0005604539
20d峰度,0.000500847
7d波动率,0.00049902435
5d波动率,0.00049646845
14d偏度,0.00049461244
300d平均收益,0.0004899777
450d平均收益,0.00048708028
500d收益率,0.00048154037
200d波动率,0.00047176963
5d平均收益,0.0004659625
350d平均收益,0.00046156207
100d偏度,0.0004584542
500d峰度,0.00044382334
450d夏普比率,0.00044115708
350d峰度,0.00043119202
200d平均收益,0.00042993188
350d收益率,0.00042230732
10d偏度,0.00041435554
3d收益率,0.0004103519
200d峰度,0.00040780436
14d平均收益,0.00040411935
3d平均收益,0.00038994398
50d收益率,0.00038476288
500d夏普比率,0.0003826687
20d夏普比率,0.00037294097
5d峰度,0.00037197804
3d波动率,0.0003551168
50d偏度,0.00033903192
14d收益率,0.00032926546
10d波动率,0.00032804368
7d偏度,0.00032718646
20d偏度,0.00032193397
7d夏普比率,0.00031391243
2d收益率,0.00031360777
150d夏普比率,0.00031119667
20d收益率,0.00031110935
14d夏普比率,0.00030940145
250d收益率,0.00030077624
400d平均收益,0.00028976743
5d偏度,0.00027835413
20d平均收益,0.00027696707
2d平均收益,0.0002715604
2d夏普比率,0.00027109907
75d收益率,0.0002534151
3d夏普比率,0.00024538318
400d夏普比率,0.00023322766
10d平均收益,0.00023318379
5d收益率,0.00023274944
3d偏度,0.00019344133
300d偏度,0.00018877273
250d偏度,0.000187667
5d夏普比率,0.0001808911
400d收益率,0.00017447922
7d平均收益,0.00017416097
450d收益率,0.00017023347
10d收益率,0.00016837895
2d波动率,0.00016783632
150d收益率,0.0001386149
250d平均收益,0.00013090334
75d平均收益,0.000127636
200d收益率,0.000118508295
500d平均收益,8.37331e-05
150d平均收益,7.476537e-05
