Feature,SHAP_Importance
100d峰度,0.0026458674
50d夏普比率,0.0018695124
250d夏普比率,0.001734185
350d偏度,0.0016629066
50d波动率,0.0016173094
400d峰度,0.0015873465
30d峰度,0.0015514406
500d偏度,0.0015458259
100d波动率,0.0014172065
50d峰度,0.0012500433
150d偏度,0.0011351358
20d波动率,0.0011064698
300d峰度,0.0010631323
450d峰度,0.0010513889
300d波动率,0.0010319017
30d波动率,0.001028338
100d夏普比率,0.0010163328
50d平均收益,0.0009321993
30d平均收益,0.0008309394
50d收益率,0.0008274449
30d夏普比率,0.0007951915
350d波动率,0.0007846197
300d收益率,0.0007845012
150d峰度,0.0007132907
100d平均收益,0.0006822947
75d波动率,0.0006774019
10d峰度,0.00067200937
300d夏普比率,0.00066883967
30d收益率,0.000667394
450d偏度,0.00064350053
350d峰度,0.0006049206
200d偏度,0.0005724981
200d峰度,0.000560796
14d收益率,0.00055630476
500d夏普比率,0.0005481421
14d波动率,0.0005481317
75d峰度,0.00052888924
500d波动率,0.0005288222
200d夏普比率,0.0005215238
20d收益率,0.00051913067
14d峰度,0.0004988747
7d收益率,0.0004914302
14d平均收益,0.00048751527
7d夏普比率,0.00048256337
300d平均收益,0.00047379287
200d收益率,0.00046377457
500d峰度,0.00046362774
20d峰度,0.00044388714
450d收益率,0.00043154898
200d波动率,0.00041740143
10d夏普比率,0.0003994094
150d波动率,0.00039828708
250d峰度,0.00039474774
250d收益率,0.0003920505
400d偏度,0.00038405356
50d偏度,0.00037729566
250d波动率,0.00036910878
7d波动率,0.0003671799
250d平均收益,0.0003591624
3d平均收益,0.00035877814
100d偏度,0.0003579253
7d峰度,0.00034842466
30d偏度,0.00033798246
75d偏度,0.00033727507
350d夏普比率,0.00032264405
100d收益率,0.00029903714
2d夏普比率,0.00029812928
5d收益率,0.00028703018
7d平均收益,0.00028160532
200d平均收益,0.00027131385
350d平均收益,0.00026895583
10d收益率,0.00026749365
300d偏度,0.0002590734
7d偏度,0.00025523006
3d收益率,0.0002546967
14d偏度,0.0002499876
10d波动率,0.00024070068
5d平均收益,0.00024010426
5d波动率,0.00023727669
500d收益率,0.00023151012
10d偏度,0.00021566688
75d夏普比率,0.0002144014
20d偏度,0.00020381276
450d平均收益,0.00019829592
400d波动率,0.00019291637
2d波动率,0.000183597
450d波动率,0.00017844206
20d夏普比率,0.00017738712
14d夏普比率,0.00017522252
20d平均收益,0.00017169479
500d平均收益,0.00016831487
350d收益率,0.00016673318
400d平均收益,0.00015722013
2d收益率,0.00015619604
75d收益率,0.00015499575
5d夏普比率,0.000154882
5d偏度,0.00015194529
75d平均收益,0.00014756684
150d夏普比率,0.00013735391
3d波动率,0.0001355256
250d偏度,0.00012610696
150d收益率,0.00011863843
450d夏普比率,0.00011695979
400d收益率,0.00011581905
3d夏普比率,9.648621e-05
5d峰度,8.1594044e-05
400d夏普比率,7.7742036e-05
150d平均收益,6.652908e-05
10d平均收益,6.579237e-05
2d平均收益,5.4432054e-05
3d偏度,4.3053366e-05
