Feature,SHAP_Importance
100d峰度,0.0019734027
300d波动率,0.001734645
100d夏普比率,0.0016167961
500d波动率,0.0015655244
350d偏度,0.0015424142
50d夏普比率,0.0014627357
50d平均收益,0.0014157826
150d峰度,0.0013579373
200d波动率,0.0012657592
20d波动率,0.0011903512
250d波动率,0.0010716644
50d峰度,0.0010085179
30d波动率,0.0009414762
500d偏度,0.0009392864
30d夏普比率,0.00091297494
50d收益率,0.0008942634
400d峰度,0.00087251596
50d波动率,0.00087138684
500d夏普比率,0.00086808536
75d波动率,0.0007487025
450d峰度,0.00074704847
50d偏度,0.0007323631
300d夏普比率,0.00070803077
150d偏度,0.0007056156
75d峰度,0.0006875541
200d偏度,0.00067847205
300d峰度,0.0006743853
300d收益率,0.0006339335
400d偏度,0.000632136
450d波动率,0.0006259352
30d收益率,0.0006256048
100d平均收益,0.0006076182
100d波动率,0.0005896634
150d波动率,0.000588135
75d夏普比率,0.0005777297
10d峰度,0.0005538691
7d峰度,0.0005472679
3d平均收益,0.0005038583
10d夏普比率,0.00049351837
30d平均收益,0.0004810358
350d峰度,0.00046999307
350d波动率,0.00046660475
500d峰度,0.00046431125
200d峰度,0.0004466304
250d峰度,0.0004412644
30d峰度,0.0004397687
100d收益率,0.0004389683
350d夏普比率,0.00043019844
400d波动率,0.00042873024
300d平均收益,0.00041240035
450d偏度,0.00039831063
7d平均收益,0.00038399806
5d波动率,0.00037753445
450d平均收益,0.00037678384
250d夏普比率,0.00037461563
200d平均收益,0.00036765292
30d偏度,0.00035390645
75d偏度,0.00035314335
10d平均收益,0.0003493763
7d收益率,0.0003315228
14d波动率,0.0003249088
500d收益率,0.00031330864
7d波动率,0.00030327545
450d收益率,0.0002971345
3d收益率,0.00029216163
350d平均收益,0.00028523593
14d收益率,0.0002729151
100d偏度,0.00027134657
350d收益率,0.00026521384
7d夏普比率,0.00026178517
200d收益率,0.00025934874
5d收益率,0.00023936856
7d偏度,0.00023696448
20d峰度,0.00023291536
5d夏普比率,0.00022919546
10d收益率,0.00021550104
20d收益率,0.00020919346
10d偏度,0.00020871253
20d夏普比率,0.00020256
450d夏普比率,0.00020138203
2d夏普比率,0.00019951252
75d收益率,0.0001872599
300d偏度,0.00018347202
20d偏度,0.00017975207
200d夏普比率,0.00017918507
500d平均收益,0.00016997986
14d偏度,0.00016919797
14d夏普比率,0.00016822122
14d平均收益,0.000166173
10d波动率,0.00016534385
5d平均收益,0.00016400915
14d峰度,0.00016352856
75d平均收益,0.00016146016
250d收益率,0.00015805333
250d偏度,0.00015508762
250d平均收益,0.00014408062
5d偏度,0.0001439347
400d平均收益,0.000120634424
3d波动率,0.00012043145
150d夏普比率,0.000118119206
2d波动率,0.00010921898
3d夏普比率,0.000106516854
20d平均收益,0.00010478691
2d收益率,8.180603e-05
150d平均收益,8.153354e-05
5d峰度,7.359833e-05
400d收益率,6.591734e-05
150d收益率,6.3933025e-05
400d夏普比率,6.0266673e-05
3d偏度,4.1699677e-05
2d平均收益,3.905951e-05
